	name	year	rating	n_reviews	director
216	Терминатор	1984	8.0	878732	James Cameron
217	Останься со мной	1986	8.0	413074	Rob Reiner
218	Гонка	2013	8.0	487572	Ron Howard
219	Телесеть	1976	8.0	162252	Sidney Lumet
220	Перед закатом	2004	8.0	271070	Richard Linklater
221	В диких условиях	2007	8.0	631378	Sean Penn
222	Волшебник страны Оз	1939	8.0	407245	Victor Fleming
223	Лучшие годы нашей жизни	1946	8.0	66496	William Wyler
224	День сурка	1993	8.0	645262	Harold Ramis
225	Изгоняющий дьявола	1973	8.0	416752	William Friedkin
226	Суперсемейка	2004	8.0	753180	Brad Bird
227	Pather Panchali	1955	8.0	34522	Satyajit Ray
228	Ненависть	1995	8.0	178952	Mathieu Kassovitz
229	To Be or Not to Be	1942	8.0	39104	Ernst Lubitsch
230	Пираты Карибского моря: Проклятие Чёрной жемчужины	2003	8.0	1144216	Gore Verbinski
231	Хатико: самый верный друг	2009	8.0	292075	Lasse Hallström
232	Гроздья гнева	1940	8.0	95444	John Ford
233	La battaglia di Algeri	1966	8.0	61867	Gillo Pontecorvo
234	Да прольётся свет	2021	8.0	205244	T.J. Gnanavel
235	Мой отец и мой сын	2005	8.0	87734	Çagan Irmak
236	Сука любовь	2000	8.0	244118	Alejandro G. Iñárritu
237	Ребекка	1940	8.0	139871	Alfred Hitchcock
238	Хладнокровный Люк	1967	8.0	180148	Stuart Rosenberg
239	Служанка	2016	8.0	154324	Park Chan-wook
240	Четыреста ударов	1959	8.0	121020	François Truffaut
241	Звуки музыки	1965	8.0	242181	Robert Wise
242	Это случилось однажды ночью	1934	8.0	106454	Frank Capra
243	Персона	1966	8.0	122313	Ingmar Bergman
244	Житие Брайана по Монти Пайтон	1979	8.0	406026	Terry Jones
245	Стальной гигант	1999	8.0	205895	Brad Bird
246	Прислуга	2011	8.0	468101	Tate Taylor
247	Дерсу Узала	1975	8.0	31391	Akira Kurosawa
248	Аладдин	1992	8.0	431181	Ron Clements
249	Танцующий с волками	1990	8.0	273455	Kevin Costner
